Age,Income,Credit_Score,Employment_Status,Previous_Loan_Default,Loan_Eligibility
21,23278,640,Unemployed,0,No
22,33434,846,Employed,0,Yes
31,24165,515,Unemployed,0,No
25,86237,808,Unemployed,0,No
35,74987,612,Student,1,No
18,40926,716,Student,1,No
22,48221,672,Unemployed,0,No
30,32676,683,Student,1,No
19,80217,774,Unemployed,1,No
20,58427,821,Employed,1,No
24,29116,523,Employed,0,No
27,30458,619,Unemployed,1,No
26,79429,825,Student,0,No
29,66566,607,Employed,1,No
20,42431,773,Employed,0,Yes
23,80589,694,Student,0,No
28,27331,617,Unemployed,1,No
30,55093,533,Unemployed,1,No
24,85435,702,Employed,1,No
22,54718,571,Unemployed,1,No
31,72350,685,Unemployed,0,No
34,84686,546,Unemployed,0,No
22,40969,848,Student,0,No
30,70019,805,Student,1,No
35,21504,848,Employed,0,No
35,54973,828,Student,0,No
27,76985,580,Student,0,No
26,85612,591,Employed,0,No
27,86540,811,Unemployed,0,No
29,41174,776,Employed,0,Yes
28,84042,509,Unemployed,1,No
27,51385,529,Unemployed,0,No
20,83699,535,Employed,0,No
22,82296,781,Unemployed,1,No
34,75461,608,Employed,0,No
27,72296,843,Employed,1,No
32,87839,731,Unemployed,0,No
25,28392,673,Unemployed,0,No
25,20942,536,Employed,0,No
25,28834,516,Student,0,No
34,51195,642,Employed,1,No
24,37342,792,Employed,1,No
25,81993,708,Unemployed,0,No
21,76498,681,Student,1,No
32,27100,844,Employed,0,No
19,72772,673,Unemployed,0,No
24,44931,774,Student,0,No
31,44050,642,Student,0,No
20,78082,781,Unemployed,0,No
35,21934,547,Unemployed,0,No
31,83653,746,Unemployed,1,No
19,41579,694,Unemployed,1,No
26,79638,646,Student,1,No
22,44890,651,Unemployed,0,No
35,27989,660,Unemployed,0,No
33,85909,771,Unemployed,0,No
34,30500,595,Unemployed,0,No
25,72923,561,Employed,0,No
19,30745,714,Employed,1,No
26,46772,842,Employed,1,No
25,54814,702,Unemployed,1,No
32,61441,537,Unemployed,1,No
21,29602,775,Unemployed,1,No
22,65745,535,Unemployed,1,No
27,40676,724,Employed,1,No
34,21025,841,Employed,1,No
21,37601,635,Unemployed,0,No
35,40374,639,Student,0,No
28,46685,824,Student,1,No
26,26658,547,Employed,1,No
26,25778,501,Student,0,No
26,41178,726,Employed,1,No
35,21267,557,Unemployed,0,No
35,24722,689,Employed,0,No
31,36704,521,Student,1,No
19,66898,607,Employed,0,Yes
21,66357,786,Student,0,No
25,41299,590,Student,0,No
23,63540,710,Employed,0,Yes
26,40866,555,Student,0,No
33,49154,602,Student,1,No
27,49831,614,Unemployed,0,No
30,63025,642,Unemployed,1,No
29,86768,704,Employed,1,No
18,35118,633,Unemployed,1,No
19,34208,805,Student,1,No
28,77199,810,Employed,0,Yes
30,44914,630,Unemployed,1,No
18,88146,775,Employed,0,Yes
29,76531,535,Employed,1,No
28,36334,653,Employed,1,No
31,62753,706,Employed,1,No
35,36683,598,Student,1,No
23,59446,707,Employed,0,Yes
27,57606,607,Student,1,No
32,77905,726,Employed,0,No
34,82021,586,Employed,0,No
27,87561,839,Employed,1,No
20,50784,844,Student,0,No
24,39313,512,Unemployed,0,No
33,29545,733,Student,0,No
30,84799,704,Unemployed,0,No
18,33970,717,Unemployed,0,No
34,80889,525,Employed,0,No
21,79829,568,Student,1,No
32,86162,718,Employed,1,No
23,82216,730,Student,0,No
26,88327,748,Employed,0,Yes
26,77654,539,Employed,1,No
25,55614,671,Student,0,No
22,39769,618,Student,0,No
24,28418,712,Student,1,No
35,81069,712,Unemployed,0,No
31,71049,799,Employed,0,No
30,82518,503,Student,1,No
30,74921,775,Employed,0,Yes
33,48760,639,Student,1,No
18,70968,672,Employed,1,No
23,81261,565,Employed,0,No
30,23552,542,Employed,1,No
22,80515,593,Unemployed,1,No
30,62906,608,Student,1,No
28,69692,642,Student,1,No
20,81644,509,Employed,0,No
29,49389,832,Unemployed,0,No
18,52411,602,Unemployed,0,No
25,36544,742,Employed,0,Yes
24,80952,631,Student,0,No
21,41465,659,Unemployed,0,No
27,69192,703,Employed,0,Yes
20,51830,552,Employed,1,No
21,25383,677,Employed,1,No
29,29038,759,Employed,1,No
18,75057,750,Unemployed,1,No
29,80258,578,Student,0,No
34,55400,815,Employed,1,No
32,77091,803,Student,1,No
25,31359,642,Student,0,No
32,69674,672,Unemployed,1,No
28,43834,749,Unemployed,1,No
26,64608,643,Employed,1,No
35,21330,764,Unemployed,0,No
25,73271,750,Employed,0,Yes
33,84332,729,Unemployed,0,No
27,49045,707,Employed,0,Yes
27,68368,742,Employed,1,No
31,63357,680,Employed,1,No
26,60189,628,Unemployed,0,No
24,61359,561,Employed,0,No
24,48361,747,Student,1,No
21,45443,651,Unemployed,1,No
23,59618,507,Employed,0,No
26,25965,527,Employed,1,No
22,84340,552,Unemployed,1,No
33,82746,725,Student,0,No
19,53092,744,Unemployed,0,No
30,84454,537,Employed,0,No
22,39555,788,Student,0,No
25,35525,785,Student,0,No
34,69856,730,Student,1,No
31,60026,791,Employed,0,No
21,47235,820,Unemployed,1,No
20,40585,622,Unemployed,0,No
23,20350,709,Student,1,No
27,24278,618,Student,1,No
32,29329,619,Student,0,No
31,35043,778,Unemployed,0,No
26,38643,536,Unemployed,0,No
27,57828,724,Unemployed,1,No
27,72757,639,Employed,1,No
32,30543,806,Unemployed,1,No
28,52816,513,Unemployed,0,No
18,55325,795,Unemployed,0,No
33,88021,833,Student,1,No
23,77132,825,Student,0,No
33,65607,709,Student,1,No
21,41079,668,Student,1,No
27,72488,781,Unemployed,1,No
20,61224,629,Student,0,No
30,87449,500,Employed,1,No
31,27104,596,Employed,1,No
33,77939,526,Unemployed,1,No
35,37172,647,Student,1,No
21,23783,822,Employed,0,No
23,60730,782,Unemployed,1,No
20,49451,558,Student,0,No
22,85323,649,Employed,1,No
31,83242,741,Unemployed,1,No
35,38958,696,Unemployed,0,No
20,56208,712,Student,1,No
18,57072,652,Employed,1,No
22,78529,775,Student,1,No
28,69441,733,Student,0,No
25,70196,619,Student,0,No
28,81993,695,Student,0,No
33,24852,564,Employed,1,No
21,77711,551,Employed,1,No
18,38894,709,Employed,0,Yes
20,81537,635,Student,1,No
20,63065,845,Employed,1,No
28,83956,777,Unemployed,0,No
25,57667,616,Employed,0,Yes
31,32903,824,Employed,0,No
32,41805,653,Unemployed,0,No
28,27355,650,Student,1,No
31,39080,625,Employed,1,No
23,42280,589,Unemployed,1,No
25,85230,798,Unemployed,0,No
